,Bankrupt,TA,GP,Sales,Cash,LT Debt,Inventories,Current liabilities,Retained earnings,Current assets,EBIT,Operating income,ROA,ROE,ROS,NI,WC
0,,1448141000,86434000,2808314000,109764000.0,6000.0,1137000.0,1417939000.0,22575000.0,1435923000,14620000.0,22355000.0,0.005,0.2796,0.0027,7644000.0,30196000.0
1,,318959000,2746000,281938000,217000.0,,17302000.0,309379000.0,9569000.0,318311000,2692000.0,2746000.0,0.0064,0.2372,0.0072,2031000.0,9580000.0
2,,205056000,21952000,164466000,17666000.0,642000.0,39722000.0,190048000.0,9043000.0,200619000,-1851000.0,3658000.0,-0.0086,-0.1179,-0.0121,-1997000.0,14366000.0
3,,73546000,53862000,180805000,28705000.0,517000.0,390000.0,26914000.0,46106000.0,46608000,44827000.0,45199000.0,0.6244,1.2717,0.1983,35849000.0,46115000.0
4,2017-08-29,85170000,19143000,238281000,37459000.0,,10832000.0,51811000.0,32199000.0,59574000,1402000.0,3617000.0,0.0059,0.0118,0.0017,399000.0,33359000.0
5,,106848000,37702000,1833466000,19091000.0,,52644000.0,78238000.0,24332000.0,89799000,10703000.0,37702000.0,0.0682,0.2872,0.004,7268000.0,28610000.0
6,,285961000,25083000,161092000,820000.0,35962000.0,33774000.0,112390000.0,119051000.0,194093000,1575000.0,2105000.0,0.0026,0.0032,0.0078,1258000.0,218376000.0
7,,1411166000,5732000,24376000,676000.0,760993000.0,157954000.0,558678000.0,91442000.0,608706000,1115000.0,5712000.0,0.0006,0.0089,0.0331,807000.0,91495000.0
8,,1307313000,3888000,11907000,3360000.0,894597000.0,188411000.0,428056000.0,-15350000.0,485478000,-216000.0,-3888000.0,0.0019,-0.1761,0.2085,2483000.0,31805000.0
9,,180361000,36448000,654693000,33644000.0,,759000.0,177191000.0,1970000.0,152281000,9184000.0,27952000.0,0.0203,1.1147,0.0035,2269000.0,3170000.0
10,,402899000,67375000,743137000,337261000.0,3993000.0,27854000.0,354857000.0,41872000.0,386499000,21410000.0,25548000.0,0.0692,0.4454,0.0222,16510000.0,44049000.0
11,,308192000,26645000,74349000,48907000.0,,37380000.0,392392000.0,-132733000.0,224110000,29225000.0,-5026000.0,0.0553,-0.2286,0.2924,21737000.0,-84200000.0
12,,164433000,86385000,635659000,34130000.0,7000.0,,65363000.0,96074000.0,134247000,91330000.0,86385000.0,0.4557,0.8735,0.1147,72923000.0,99063000.0
13,,1940553000,31880000,1020450000,48871000.0,,934010000.0,1920316000.0,20227000.0,1908537000,1499000.0,7717000.0,0.0005,0.0473,0.0009,954000.0,20237000.0
14,,142811000,12932000,162465000,409000.0,,7583000.0,143596000.0,-795000.0,87165000,-1456000.0,-565000.0,-0.0101,25.5439,-0.009,-1456000.0,-785000.0
15,,427840000,112599000,271900000,21069000.0,,156822000.0,325874000.0,95982000.0,407320000,1253000.0,1850000.0,0.0019,0.0074,0.0028,765000.0,101966000.0
16,,58387000,30000,6600000,,205418000.0,1302000.0,49319000.0,-205262000.0,2665000,,30000.0,-0.8682,2.1906,-31.1003,-205262000.0,-196350000.0
17,,2914060000,7156000,7156000,197000.0,,,2947329000.0,-2338030000.0,621152000,-89473000.0,-35846000.0,-0.0307,-7.6238,-12.5032,-89473000.0,-33269000.0
18,,805116000,175942000,2899782000,508000.0,67000.0,76401000.0,521016000.0,283981000.0,782400000,24972000.0,105120000.0,0.0143,0.0519,0.005,14427000.0,284033000.0
19,,224577000,13261000,402083000,28800000.0,,42165000.0,207613000.0,16954000.0,209086000,7805000.0,13261000.0,0.0231,0.3702,0.0134,5371000.0,16964000.0
20,,88840000,189748000,337588000,457000.0,6000.0,2000.0,46426000.0,39355000.0,15359000,-170863000.0,187287000.0,-0.3938,-1.2683,-0.405,-136729000.0,42408000.0
21,,843725000,3456000,133732000,52012000.0,22242000.0,146442000.0,789122000.0,27351000.0,241972000,1849000.0,3456000.0,0.0024,0.0588,0.0138,1849000.0,771812000.0
22,,5336000,3648000,6992000,61000.0,,2320000.0,3963000.0,1365000.0,5059000,1708000.0,1742000.0,0.2948,1.8384,0.1952,1365000.0,1373000.0
23,,9017000,276000,902000,186000.0,,85000.0,193000.0,-413000.0,677000,25000.0,-295000.0,0.002,0.002,0.0222,20000.0,8824000.0
24,,21241000,12082000,50735000,5995000.0,,2915000.0,910000.0,20131000.0,13276000,835000.0,824000.0,0.0329,0.0344,0.0135,687000.0,20331000.0
