,#,Наименование,Регистрационный номер,Дата регистрации,Возраст компании,Дата ликвидации,Статус,Код налогоплательщика,Регион регистрации,Вид деятельности/отрасль,Важная информация,"2014, Активы  всего, ед. RUB","2014, Валовая прибыль (убыток), ед. RUB","2014, Валовая рентабельность затрат, %","2014, Валовая рентабельность коммерческих и управленческих расходов, %","2014, Валовая рентабельность, %","2014, Внеоборотные активы, ед. RUB","2014, Выручка, ед. RUB","2014, Дебиторская задолженность, ед. RUB","2014, Денежные средства и денежные эквиваленты, ед. RUB","2014, Добавочный капитал, ед. RUB","2014, Долгосрочные обязательства, ед. RUB","2014, Долгосрочные финансовые вложения, ед. RUB","2014, Заёмные средства (долгосрочные), ед. RUB","2014, Заёмные средства (краткосрочные), ед. RUB","2014, Запасы, ед. RUB","2014, Капитал и резервы, ед. RUB","2014, Коммерческие расходы, ед. RUB","2014, Коэффициент абсолютной ликвидности, %","2014, Коэффициент быстрой ликвидности, %","2014, Коэффициент концентрации собственного капитала (автономии), %","2014, Коэффициент маневренности собственных средств, %","2014, Коэффициент обеспеченности собственными оборотными средствами, %","2014, Коэффициент соотношения заемных и собственных средств, %","2014, Коэффициент текущей ликвидности, %","2014, Краткосрочные обязательства, ед. RUB","2014, Краткосрочные финансовые вложения, ед. RUB","2014, Кредиторская задолженность, ед. RUB","2014, Налог на прибыль, ед. RUB","2014, Нематериальные активы, ед. RUB","2014, Нераспределенная прибыль (непокрытый убыток), ед. RUB","2014, Оборотные активы, ед. RUB","2014, Оплата процентов по долговым обязательствам, ед. RUB","2014, Основные средства , ед. RUB","2014, Получение дивидендов, процентов, ед. RUB","2014, Получение кредитов и займов, ед. RUB","2014, Поступление денежных вкладов собственников (участников), ед. RUB","2014, Поступления арендных, лицензионных, комиссионных платежей, роялти, ед. RUB","2014, Поступления от возврата займов, продажи долговых ценных бумаг, ед. RUB","2014, Поступления от выпуска акций, увеличения долей участия, ед. RUB","2014, Поступления от выпуска облигаций, векселей и других долговых ценных бумаг и др., ед. RUB","2014, Поступления от инвестиционных операций, ед. RUB","2014, Поступления от перепродажи финансовых вложений, ед. RUB","2014, Поступления от продаж, ед. RUB","2014, Поступления от текущих операций, ед. RUB","2014, Поступления от финансовых операций, ед. RUB","2014, Прибыль (убыток) до налогообложения , ед. RUB","2014, Прибыль (убыток) от продажи, ед. RUB","2014, Прибыль от приносящей доход деятельности, ед. RUB","2014, Приобретение акций (долей участия), ед. RUB","2014, Приобретение внеоборотных активов, ед. RUB","2014, Приобретение долговых ценных бумаг, предоставление займов, ед. RUB","2014, Приобретение основных средств, инвентаря и иного имущества, ед. RUB","2014, Продажа акций других организаций, ед. RUB","2014, Продажа внеоборотных активов, ед. RUB","2014, Проценты к получению, ед. RUB","2014, Проценты к уплате, ед. RUB","2014, Прочие внеоборотные активы, ед. RUB","2014, Прочие долгосрочные обязательства, ед. RUB","2014, Прочие доходы, ед. RUB","2014, Прочие расходы, ед. RUB","2014, Расходы на содержание аппарата управления, ед. RUB","2014, Расходы на целевые мероприятия, ед. RUB","2014, Резервный капитал, ед. RUB","2014, Рентабельность активов (ROA), %","2014, Рентабельность активов (п. 1.6 ст.105.8 НК РФ), %","2014, Рентабельность затрат, %","2014, Рентабельность капитала (ROE), %","2014, Рентабельность продаж , %","2014, Себестоимость продаж, ед. RUB","2014, Текущий налог на прибыль, ед. RUB","2014, Управленческие расходы, ед. RUB","2014, Чистая норма прибыли (ROS), %","2014, Чистая прибыль (убыток), ед. RUB","2014, Чистые активы, ед. RUB"
0,1,"2С, ООО",1100265000395.0,2010-04-26,7.5,,Действующая,265034781.0,Башкортостан (Республика),Предоставление услуг в области добычи нефти и природного газа,,93997000.0,1014000.0,0.0122,,0.012,4091000.0,84348000.0,42103000.0,20641000.0,,,,,,20153000.0,9156000.0,,0.2433,0.8222,0.0974,0.5532,0.0563,9.2662,1.0597,84841000.0,,62644000.0,,,9146000.0,89907000.0,,4091000.0,,,,,,,,,,,,,682000.0,1014000.0,,,,,,,,8000.0,,,,9000.0,349000.0,,,,0.0076,0.0153,0.0122,0.0613,0.012,83334000.0,137000.0,,0.0065,545000.0,9156000.0
1,2,"464 КНИ, ООО",1027102871180.0,2002-09-30,15.0,,Действующая,7124021704.0,Тульская область,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,161351000.0,110424000.0,0.5382,1.1464,0.3499,98384000.0,315613000.0,3496000.0,682000.0,20000000.0,3402000.0,4508000.0,,,44774000.0,7967000.0,46143000.0,0.0045,0.1213,0.0494,-11.3489,-1.4359,19.2524,0.4198,149982000.0,,144491000.0,,,-17601000.0,62967000.0,,87149000.0,,,20000000.0,,,,,,,313847000.0,320434000.0,20000000.0,11501000.0,14105000.0,,,26289000.0,,,,,3000.0,,,,7517000.0,10124000.0,,,58000.0,0.0471,0.1042,0.0468,-1.2488,0.0447,205189000.0,,50176000.0,0.0214,6759000.0,7967000.0
2,3,"STONE CAPITAL, ООО",1036605194614.0,1994-04-01,23.5,,Действующая,6664007389.0,Свердловская область,"Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев",,18158000.0,6609000.0,1.8127,1.0424,0.6445,8152000.0,10255000.0,3607000.0,12000.0,6583000.0,,,,113000.0,6358000.0,15347000.0,,0.0043,1.2978,0.8452,0.4688,0.7191,0.1832,3.5596,2811000.0,,2698000.0,,,-25550000.0,10006000.0,,8152000.0,,289000.0,,,,,,,,9179000.0,11022000.0,289000.0,67000.0,269000.0,,,,,,,,,,,,,202000.0,,,,0.0019,0.0148,0.0269,0.0022,0.0262,3646000.0,33000.0,6340000.0,0.0033,34000.0,15347000.0
3,4,"А-СЕРВИС, ООО",1072225011935.0,2007-09-28,10.0,,Действующая,2225088880.0,Алтайский край,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,13697000.0,4270000.0,2.086,2.2737,0.676,8964000.0,6317000.0,2621000.0,1098000.0,,,,,4825000.0,995000.0,1926000.0,1738000.0,0.0933,0.3176,0.1406,-3.6542,-1.487,6.1116,0.4021,11771000.0,,6946000.0,,,1916000.0,4733000.0,,8964000.0,,,,,,,,,,,,,2395000.0,2392000.0,,,,,,,,13000.0,,,,,10000.0,,,,0.2796,0.1901,0.6094,1.9793,0.3787,2047000.0,479000.0,140000.0,0.3033,1916000.0,1926000.0
4,5,"А-СТАРТ, ООО",1125905005005.0,2012-06-06,5.5,,Действующая,5905292013.0,Пермский край,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,12207000.0,670000.0,0.0349,,0.0337,7723000.0,19889000.0,1729000.0,22000.0,,2196000.0,,2196000.0,,2657000.0,451000.0,,0.0023,0.1911,0.0369,-16.1242,-1.6218,26.0665,0.469,9560000.0,,9560000.0,,,441000.0,4484000.0,,7723000.0,,,,,,,,,,,,,567000.0,670000.0,,,,,,,,,,,,,103000.0,,,,0.0408,0.0553,0.0349,2.2594,0.0337,19219000.0,88000.0,,0.0241,479000.0,451000.0
5,6,"А.В. ИНДАСТРИ, ООО",1045611053443.0,2004-09-30,13.0,,Действующая,5616011270.0,Оренбургская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,28113000.0,484000.0,1.5172,0.8432,0.6027,24163000.0,803000.0,2780000.0,131000.0,2348000.0,,,,15443000.0,995000.0,1977000.0,,0.005,0.1131,0.0703,-11.2221,-5.6167,13.22,0.1511,26136000.0,,10693000.0,,,-3371000.0,3950000.0,,244000.0,,,,,,,,,,,,,-180000.0,-90000.0,,,,,,,,,14000.0,,,,76000.0,,,,-0.0073,-0.0224,-0.1008,-0.1338,-0.1121,319000.0,,574000.0,-0.2242,-180000.0,1977000.0
6,7,"А/С ДАУРИЯ, ПК",1027501156880.0,1993-01-21,25.0,,Действующая,7507000811.0,Забайкальский край,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,755842000.0,95244000.0,0.0908,1.1046,0.0832,408660000.0,1144742000.0,108120000.0,7606000.0,,185188000.0,715000.0,171429000.0,140977000.0,136787000.0,410853000.0,,0.592,1.3166,0.5436,0.0053,0.0063,0.8397,2.1726,159801000.0,87000000.0,18824000.0,2113000.0,122949000.0,410749000.0,347182000.0,20503000.0,277499000.0,6045000.0,389866000.0,,196000.0,47888000.0,10000.0,,53933000.0,,1127574000.0,1260373000.0,389876000.0,-48872000.0,9023000.0,,,,41000000.0,,,,6045000.0,21135000.0,7456000.0,,3684000.0,46489000.0,,,,-0.0688,0.014,0.0079,-0.1082,0.0079,1049498000.0,293000.0,86221000.0,-0.0411,-47013000.0,410853000.0
7,8,"А/С ЗАПАДНАЯ, ООО",1023800734462.0,1996-07-08,21.5,,Действующая,3802005383.0,Иркутская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,371000.0,256000.0,19.6923,1.113,0.9517,238000.0,269000.0,62000.0,69000.0,,,,,,,357000.0,,4.9286,9.3571,0.9623,0.3333,0.8947,0.0392,9.5,14000.0,,13000.0,,,-19160000.0,133000.0,,152000.0,,,,,,,,,,241000.0,241000.0,,12000.0,27000.0,,,,,,,,,,,,,15000.0,,,,0.0275,0.1262,0.1111,0.0285,0.1004,13000.0,,230000.0,0.0372,10000.0,357000.0
8,9,"А/С НИМАН, ООО",1032700160107.0,1994-08-01,23.5,,Действующая,2710006441.0,Хабаровский край,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,330941000.0,35583000.0,0.0605,0.9902,0.057,125234000.0,624034000.0,104403000.0,1268000.0,,1500000.0,250000.0,,270555000.0,77706000.0,39358000.0,,0.0044,0.4413,0.1189,-2.1819,-0.4175,7.4085,0.7091,290083000.0,,19528000.0,,2174000.0,35328000.0,205707000.0,,106427000.0,,563413000.0,,,,,,,,580001000.0,604831000.0,563413000.0,-33199000.0,-352000.0,,,,,,,,186000.0,24061000.0,,,3365000.0,12337000.0,,,,-0.0832,-0.0012,-0.0006,-0.534,-0.0006,588451000.0,,35935000.0,-0.0459,-28670000.0,39358000.0
9,10,"А/С СЕВЕР, ООО",1020300523297.0,1992-12-07,25.0,,Действующая,302000328.0,Бурятия (Республика),"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,53385000.0,13736000.0,0.1231,1.4864,0.1096,19828000.0,125276000.0,12601000.0,1184000.0,351000.0,1460000.0,5000.0,,,17528000.0,47464000.0,,0.2903,3.5931,0.8891,0.5823,0.8236,0.1247,7.5223,4461000.0,111000.0,4461000.0,,19000.0,47101000.0,33557000.0,,18388000.0,,40000000.0,,,,,,,,125276000.0,139326000.0,40000000.0,1058000.0,4495000.0,,,,,,,,,2037000.0,,,496000.0,1896000.0,,,,0.0123,0.0926,0.0372,0.0147,0.0359,111540000.0,,9241000.0,0.0055,694000.0,47464000.0
